concurrency,bf16_total_tok_s,awq_total_tok_s,throughput_delta_pct,bf16_tpot_p95_ms,awq_tpot_p95_ms
1,75.61883009225801,194.98504246517928,157.8524981506454,16.966735714328443,6.549101176720892
4,285.5815503815938,740.0611061273788,159.14177758980225,17.93209241863537,6.893282500414611
8,555.8001614746227,1387.0097882589039,149.5518865231984,18.414486961625155,7.337496286520549
16,1003.8882234893744,2315.9675751569757,130.6997453468473,19.18447977843204,8.334825428406873
32,1777.3833360547892,3793.901495668835,113.45431898163612,21.70382556095428,10.202164582656643
